"Code point","Rank 1","Rank 2","Unicode name","WP43 usage","Glyph","Replacement","Code point"
"U+00e6",63,82,"LATIN SMALL LETTER AE","ae","æ","A","U+0041"
"U+00e7",95,102,"LATIN SMALL LETTER C WITH CEDILLA","c cedilla","ç","C","U+0043"
"U+00e8",121,128,"LATIN SMALL LETTER E WITH GRAVE","e grave","è","E","U+0045"
"U+00e9",121,130,"LATIN SMALL LETTER E WITH ACUTE","e accute","é","E","U+0045"
"U+00ea",121,132,"LATIN SMALL LETTER E WITH CIRCUMFLEX","e circumflex","ê","E","U+0045"
"U+00eb",121,134,"LATIN SMALL LETTER E WITH DIAERESIS","e diaresis","ë","E","U+0045"
"U+00ec",170,177,"LATIN SMALL LETTER I WITH GRAVE","i grave","ì","I","U+0049"
"U+00ed",170,179,"LATIN SMALL LETTER I WITH ACUTE","i accute","í","I","U+0049"
"U+00ee",170,181,"LATIN SMALL LETTER I WITH CIRCUMFLEX","i circumflex","î","I","U+0049"
"U+00ef",170,183,"LATIN SMALL LETTER I WITH DIAERESIS","i diaresis","ï","I","U+0049"
"U+00f0",109,116,"LATIN SMALL LETTER ETH","eth","ð","D","U+0044"
"U+00f1",223,230,"LATIN SMALL LETTER N WITH TILDE","n tilde","ñ","N","U+004E"
"U+00f2",236,244,"LATIN SMALL LETTER O WITH GRAVE","o grave","ò","O","U+004F"
"U+00f3",236,246,"LATIN SMALL LETTER O WITH ACUTE","o accute","ó","O","U+004F"
"U+00f4",236,248,"LATIN SMALL LETTER O WITH CIRCUMFLEX","o circumflex","ô","O","U+004F"
"U+00f5",236,250,"LATIN SMALL LETTER O WITH TILDE","o tilde","õ","O","U+004F"
"U+00f6",236,252,"LATIN SMALL LETTER O WITH DIAERESIS","o diaresis","ö","O","U+004F"
"U+00f7",494,496,"DIVISION SIGN","Obelus","÷",":","U+003a"
"U+00f8",236,254,"LATIN SMALL LETTER O WITH STROKE","o stroke","ø","O","U+004F"
"U+00f9",309,316,"LATIN SMALL LETTER U WITH GRAVE","u grave","ù","U","U+0055"
"U+00fa",309,318,"LATIN SMALL LETTER U WITH ACUTE","u accute","ú","U","U+0055"
"U+00fb",309,320,"LATIN SMALL LETTER U WITH CIRCUMFLEX","u circumflex","û","U","U+0055"
"U+00fc",309,322,"LATIN SMALL LETTER U WITH DIAERESIS","u diaresis","ü","U","U+0055"
"U+00fd",357,364,"LATIN SMALL LETTER Y WITH ACUTE","y accute","ý","Y","U+0059"
"U+00ff",357,368,"LATIN SMALL LETTER Y WITH DIAERESIS","y diaresis","ÿ","Y","U+0059"
"U+0100",63,83,"LATIN CAPITAL LETTER A WITH MACRON","A macron","Ā","A","U+0041"
"U+0101",63,84,"LATIN SMALL LETTER A WITH MACRON","a macron","ā","A","U+0041"
"U+0102",63,85,"LATIN CAPITAL LETTER A WITH BREVE","A breve","Ă","A","U+0041"
"U+0103",63,86,"LATIN SMALL LETTER A WITH BREVE","a breve","ă","A","U+0041"
"U+0104",63,87,"LATIN CAPITAL LETTER A WITH OGONEK","A ogonek","Ą","A","U+0041"
"U+0105",63,88,"LATIN SMALL LETTER A WITH OGONEK","a ogonek","ą","A","U+0041"
"U+0106",95,103,"LATIN CAPITAL LETTER C WITH ACUTE","C accute","Ć","C","U+0043"
"U+0107",95,104,"LATIN SMALL LETTER C WITH ACUTE","c accute","ć","C","U+0043"
"U+010c",95,105,"LATIN CAPITAL LETTER C WITH CARON","C caron","Č","C","U+0043"
"U+010d",95,106,"LATIN SMALL LETTER C WITH CARON","c caron","č","C","U+0043"
"U+010e",109,117,"LATIN CAPITAL LETTER D WITH CARON","D caron","Ď","D","U+0044"
"U+010f",109,118,"LATIN SMALL LETTER D WITH CARON","d apostrophe","ď","D","U+0044"
"U+0110",109,119,"LATIN CAPITAL LETTER D WITH STROKE","D stroke","Đ","D","U+0044"
"U+0111",109,120,"LATIN SMALL LETTER D WITH STROKE","d stroke","đ","D","U+0044"
"U+0112",121,135,"LATIN CAPITAL LETTER E WITH MACRON","E macron","Ē","E","U+0045"
"U+0113",121,136,"LATIN SMALL LETTER E WITH MACRON","e macron","ē","E","U+0045"
"U+0114",121,137,"LATIN CAPITAL LETTER E WITH BREVE","E breve","Ĕ","E","U+0045"
"U+0115",121,138,"LATIN SMALL LETTER E WITH BREVE","e breve","ĕ","E","U+0045"
"U+0116",121,139,"LATIN CAPITAL LETTER E WITH DOT ABOVE","E dot","Ė","E","U+0045"
"U+0117",121,140,"LATIN SMALL LETTER E WITH DOT ABOVE","e dot","ė","E","U+0045"
"U+0118",121,141,"LATIN CAPITAL LETTER E WITH OGONEK","E ogonek","Ę","E","U+0045"
"U+0119",121,142,"LATIN SMALL LETTER E WITH OGONEK","e ogonek","ę","E","U+0045"
"U+011a",121,143,"LATIN CAPITAL LETTER E WITH CARON","E caron","Ě","E","U+0045"
"U+011b",121,144,"LATIN SMALL LETTER E WITH CARON","e caron","ě","E","U+0045"
"U+011e",153,159,"LATIN CAPITAL LETTER G WITH BREVE","G breve","Ğ","G","U+0047"
"U+011f",153,160,"LATIN SMALL LETTER G WITH BREVE","g breve","ğ","G","U+0047"
"U+0127",161,168,"LATIN SMALL LETTER H WITH STROKE","h stroke","ħ","H","U+0048"
"U+012a",170,184,"LATIN CAPITAL LETTER I WITH MACRON","I macron","Ī","I","U+0049"
"U+012b",170,185,"LATIN SMALL LETTER I WITH MACRON","i macron","ī","I","U+0049"
"U+012c",170,186,"LATIN CAPITAL LETTER I WITH BREVE","I breve","Ĭ","I","U+0049"
"U+012d",170,187,"LATIN SMALL LETTER I WITH BREVE","i breve","ĭ","I","U+0049"
"U+012e",170,188,"LATIN CAPITAL LETTER I WITH OGONEK","I ogonek","Į","I","U+0049"
"U+012f",170,189,"LATIN SMALL LETTER I WITH OGONEK","i ogonek","į","I","U+0049"
"U+0130",170,190,"LATIN CAPITAL LETTER I WITH DOT ABOVE","I dot","İ","I","U+0049"
"U+0131",170,191,"LATIN SMALL LETTER DOTLESS I","i dotless","ı","I","U+0049"
"U+0139",205,211,"LATIN CAPITAL LETTER L WITH ACUTE","L accute","Ĺ","L","U+004C"
"U+013a",205,212,"LATIN SMALL LETTER L WITH ACUTE","l accute","ĺ","L","U+004C"
"U+013d",205,213,"LATIN CAPITAL LETTER L WITH CARON","L apostrophe","Ľ","L","U+004C"
"U+013e",205,214,"LATIN SMALL LETTER L WITH CARON","l apostrophe","ľ","L","U+004C"
"U+0141",205,215,"LATIN CAPITAL LETTER L WITH STROKE","L stroke","Ł","L","U+004C"
"U+0142",205,216,"LATIN SMALL LETTER L WITH STROKE","l stoke","ł","L","U+004C"
"U+0143",223,231,"LATIN CAPITAL LETTER N WITH ACUTE","N accute","Ń","N","U+004E"
"U+0144",223,232,"LATIN SMALL LETTER N WITH ACUTE","n accute","ń","N","U+004E"
"U+0147",223,233,"LATIN CAPITAL LETTER N WITH CARON","N caron","Ň","N","U+004E"
"U+0148",223,234,"LATIN SMALL LETTER N WITH CARON","n caron","ň","N","U+004E"
"U+014c",236,255,"LATIN CAPITAL LETTER O WITH MACRON","O macron","Ō","O","U+004F"
"U+014d",236,256,"LATIN SMALL LETTER O WITH MACRON","o macron","ō","O","U+004F"
"U+014e",236,257,"LATIN CAPITAL LETTER O WITH BREVE","O breve","Ŏ","O","U+004F"
"U+014f",236,258,"LATIN SMALL LETTER O WITH BREVE","o breve","ŏ","O","U+004F"
"U+0152",236,259,"LATIN CAPITAL LIGATURE OE","OE","Œ","O","U+004F"
"U+0153",236,260,"LATIN SMALL LIGATURE OE","oe","œ","O","U+004F"
"U+0154",274,280,"LATIN CAPITAL LETTER R WITH ACUTE","R accute","Ŕ","R","U+0052"
"U+0155",274,281,"LATIN SMALL LETTER R WITH ACUTE","r accute","ŕ","R","U+0052"
"U+0158",274,282,"LATIN CAPITAL LETTER R WITH CARON","R caron","Ř","R","U+0052"
"U+0159",274,283,"LATIN SMALL LETTER R WITH CARON","r caron","ř","R","U+0052"
"U+015a",285,291,"LATIN CAPITAL LETTER S WITH ACUTE","S accute","Ś","S","U+0053"
"U+015b",285,292,"LATIN SMALL LETTER S WITH ACUTE","s accute","ś","S","U+0053"
"U+015e",285,293,"LATIN CAPITAL LETTER S WITH CEDILLA","S cedilla","Ş","S","U+0053"
"U+015f",285,294,"LATIN SMALL LETTER S WITH CEDILLA","s cedilla","ş","S","U+0053"
"U+0160",285,295,"LATIN CAPITAL LETTER S WITH CARON","S caron","Š","S","U+0053"
"U+0161",285,296,"LATIN SMALL LETTER S WITH CARON","s caron","š","S","U+0053"
"U+0162",298,305,"LATIN CAPITAL LETTER T WITH CEDILLA","T cedilla","Ţ","T","U+0054"
"U+0163",298,306,"LATIN SMALL LETTER T WITH CEDILLA","t cedilla","ţ","T","U+0054"
"U+0164",298,307,"LATIN CAPITAL LETTER T WITH CARON","T caron","Ť","T","U+0054"
"U+0165",298,308,"LATIN SMALL LETTER T WITH CARON","t apostrophe","ť","T","U+0054"
"U+0168",309,323,"LATIN CAPITAL LETTER U WITH TILDE","U tilde","Ũ","U","U+0055"
"U+0169",309,324,"LATIN SMALL LETTER U WITH TILDE","u tilde","ũ","U","U+0055"
"U+016a",309,325,"LATIN CAPITAL LETTER U WITH MACRON","U macron","Ū","U","U+0055"
"U+016b",309,326,"LATIN SMALL LETTER U WITH MACRON","u macron","ū","U","U+0055"
"U+016c",309,327,"LATIN CAPITAL LETTER U WITH BREVE","U breve","Ŭ","U","U+0055"
"U+016d",309,328,"LATIN SMALL LETTER U WITH BREVE","u breve","ŭ","U","U+0055"
"U+016e",309,329,"LATIN CAPITAL LETTER U WITH RING ABOVE","U ring","Ů","U","U+0055"
"U+016f",309,330,"LATIN SMALL LETTER U WITH RING ABOVE","u ring","ů","U","U+0055"
"U+0172",309,331,"LATIN CAPITAL LETTER U WITH OGONEK","U ogonek","Ų","U","U+0055"
"U+0173",309,332,"LATIN SMALL LETTER U WITH OGONEK","u ogonek","ų","U","U+0055"
"U+0174",339,345,"LATIN CAPITAL LETTER W WITH CIRCUMFLEX","W circumflex","Ŵ","W","U+0057"
"U+0175",339,346,"LATIN SMALL LETTER W WITH CIRCUMFLEX","w circumflex","ŵ","W","U+0057"
"U+0176",357,365,"LATIN CAPITAL LETTER Y WITH CIRCUMFLEX","Y circumflex","Ŷ","Y","U+0059"
"U+0177",357,366,"LATIN SMALL LETTER Y WITH CIRCUMFLEX","y circumflex","ŷ","Y","U+0059"
"U+0178",357,367,"LATIN CAPITAL LETTER Y WITH DIAERESIS","Y diaresis","Ÿ","Y","U+0059"
"U+0179",371,377,"LATIN CAPITAL LETTER Z WITH ACUTE","Z accute","Ź","Z","U+005a"
"U+017a",371,378,"LATIN SMALL LETTER Z WITH ACUTE","z accute","ź","Z","U+005a"
"U+017b",371,379,"LATIN CAPITAL LETTER Z WITH DOT ABOVE","Z dot","Ż","Z","U+005a"
"U+017c",371,380,"LATIN SMALL LETTER Z WITH DOT ABOVE","z dot","ż","Z","U+005a"
"U+017d",371,381,"LATIN CAPITAL LETTER Z WITH CARON","Zcaron","Ž","Z","U+005a"
"U+017e",371,382,"LATIN SMALL LETTER Z WITH CARON","z caron","ž","Z","U+005a"
"U+0232",357,370,"LATIN CAPITAL LETTER Y WITH MACRON","y under root","Ȳ","Y","U+0059"
"U+0233",357,369,"LATIN SMALL LETTER Y WITH MACRON","y macron","ȳ","Y","U+0059"
"U+0378",347,354,"not defined by unicode","x macron","͸","X","U+0058"
"U+0379",347,353,"not defined by unicode","x circumflex","͹","X","U+0058"
"U+037f",347,355,"GREEK CAPITAL LETTER YOT ","x under root","Ϳ","X","U+0058"
"U+0390",405,410,"GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS","iota dialytika tonos","ΐ","Ι","U+0399"
"U+0391",384,384,"GREEK CAPITAL LETTER ALPHA","ALPHA","Α","Α","U+0391"
"U+0392",388,388,"GREEK CAPITAL LETTER BETA","BETA","Β","Β","U+0392"
"U+0393",390,390,"GREEK CAPITAL LETTER GAMMA","GAMMA","Γ","Γ","U+0393"
"U+0394",392,392,"GREEK CAPITAL LETTER DELTA","DELTA","Δ","Δ","U+0394"
"U+0395",395,395,"GREEK CAPITAL LETTER EPSILON","EPSILON","Ε","Ε","U+0395"
"U+0396",398,398,"GREEK CAPITAL LETTER ZETA","ZETA","Ζ","Ζ","U+0396"
"U+0397",400,400,"GREEK CAPITAL LETTER ETA","ETA","Η","Η","U+0397"
"U+0398",403,403,"GREEK CAPITAL LETTER THETA","THETA","Θ","Θ","U+0398"
"U+0399",405,405,"GREEK CAPITAL LETTER IOTA","IOTA","Ι","Ι","U+0399"
"U+039a",411,411,"GREEK CAPITAL LETTER KAPPA","KAPPA","Κ","Κ","U+039a"
"U+039b",413,413,"GREEK CAPITAL LETTER LAMDA","LAMDA","Λ","Λ","U+039b"
"U+039c",415,415,"GREEK CAPITAL LETTER MU","MU","Μ","Μ","U+039c"
"U+039d",419,419,"GREEK CAPITAL LETTER NU","NU","Ν","Ν","U+039d"
"U+039e",421,421,"GREEK CAPITAL LETTER XI","XI","Ξ","Ξ","U+039e"
"U+039f",423,423,"GREEK CAPITAL LETTER OMICRON","OMICRON","Ο","Ο","U+039f"
"U+03a0",426,426,"GREEK CAPITAL LETTER PI","PI","Π","Π","U+03a0"
"U+03a1",429,429,"GREEK CAPITAL LETTER RHO","RHO","Ρ","Ρ","U+03a1"
"U+03a3",431,431,"GREEK CAPITAL LETTER SIGMA","SIGMA","Σ","Σ","U+03a3"
"U+03a4",434,434,"GREEK CAPITAL LETTER TAU","TAU","Τ","Τ","U+03a4"
"U+03a5",436,436,"GREEK CAPITAL LETTER UPSILON","UPSILON","Υ","Υ","U+03a5"
"U+03a6",442,442,"GREEK CAPITAL LETTER PHI","PHI","Φ","Φ","U+03a6"
"U+03a7",444,444,"GREEK CAPITAL LETTER CHI","CHI","Χ","Χ","U+03a7"
"U+03a8",446,446,"GREEK CAPITAL LETTER PSI","PSI","Ψ","Ψ","U+03a8"
